NUMBER	Gloss	Concepticon_ID	Concepticon_Gloss
1	Alligator	1581	ALLIGATOR
2	Arm	1673	ARM
3	Arm Between Elbow and Wrist	431	UPPER ARM
4	Arm Between Shoulder and Elbow	446	LOWER ARM
5	Armlet or Bracelet	3149	ARMLET
6	Armlet or Bracelet (of brass)	3149	ARMLET
7	Arrow	977	ARROW
8	a walled town		
9	Axe	677	AXE
10	Bad	1292	BAD
11	Bat	1793	BAT
12	Bat (large)		
13	Beans	832	BEAN
14	Bed	1663	BED
15	Bee	665	BEE
16	Belly	1251	BELLY
17	Bench, Chair		
18	Bench, Chair (for men)		
19	Bench, Chair (for women)		
20	Bird	937	BIRD
21	Black	163	BLACK
22	Black Man (Negro)	2806	BLACK MAN
23	Blood	946	BLOOD
24	body	1480	BODY
25	Bone	1394	BONE
26	Book	963	BOOK
27	Bow	994	BOW
28	Boy	1366	BOY
29	Buck		
30	Bull	1008	BULL
31	Butter	1245	BUTTER
32	Butterfly	1791	BUTTERFLY
33	Butter (melted)		
34	Calabash	411	GOURD
35	Camwood		
36	Canoe	1970	CANOE
37	Cap	1288	CAP
38	Cassada	925	CASSAVA
39	Cassada (wild)	925	CASSAVA
40	Cat	1208	CAT
41	Chain (Fetters ?)		
42	Chain (Fetters ?) (for neck)		
43	Chamelion	1555	CHAMELEON
44	Chest	1592	CHEST
45	Coal	2658	COAL
46	Cock	1511	ROOSTER
47	Cold	1287	COLD
48	Cotton	1850	COTTON
49	Cotton-plant (a Shrub)		
50	Cotton-tree		
51	cough		
52	Cow	1007	COW
53	Crooked (bent)	297	CROOKED
54	cross-bow	3193	CROSSBOW
55	Daughter (My, Thy)	1357	DAUGHTER
56	Day	1225	DAY (NOT NIGHT)
57	Devil	1973	DEMON
58	Dew	1977	DEW
59	Doctor	597	PHYSICIAN
60	Dog	2009	DOG
61	Door	1567	DOOR
62	Door (of grass)		
63	Door (of wood)		
64	Door-way		
65	Drum	908	DRUM
66	Dry	1398	DRY
67	Dry Season	452	DRY SEASON
68	Ear	1247	EAR
69	Ear-Ring	770	EARRING
70	Egg	744	EGG
71	Eight	1705	EIGHT
72	Eighteen	1713	EIGHTEEN
73	Elbow	981	ELBOW
74	Elder Brother (My, Thy)	1759	OLDER BROTHER
75	Elder Sister	1758	OLDER SISTER
76	Elephant	1290	ELEPHANT
77	Eleven	1706	ELEVEN
78	Ewe	1345	EWE
79	Ewe (Sheep)	1345	EWE
80	Eye	1248	EYE
81	Face	1560	FACE
82	Farm	201	FARM
83	Father (My Father, Thy Father)	1217	FATHER
84	Female Breast	1402	BREAST
85	Female Slave		
86	Fifteen	1709	FIFTEEN
87	Finger	1303	FINGER
88	Finger (thumb)	1781	THUMB
89	Fire	221	FIRE
90	Firewood	10	FIREWOOD
91	Firewood (dry wood)	10	FIREWOOD
92	Fish	227	FISH
93	Five	493	FIVE
94	Foot, or Instep of the Foot	1301	FOOT
95	Foot-Sole	2666	SOLE (FOOT)
96	Forehead	123	FOREHEAD
97	Forest	420	FOREST
98	Four	1500	FOUR
99	Fourteen	2451	FOURTEEN
100	Fowl (Hen)	265	FOWL
101	Friend (My, Thy)	1325	FRIEND
102	Frog	503	FROG
103	Girl	1646	GIRL
104	Goat	1502	GOAT
105	God	1944	GOD
106	Gold	1369	GOLD
107	Gold (brass)	1369	GOLD
108	Good	1035	GOOD
109	Grandfather	1383	GRANDFATHER
110	Grandmother	1496	GRANDMOTHER
111	Great, large	1202	BIG
112	Greedy	2018	GREEDY
113	Greegree	2804	AMULET
114	Ground-nut	595	GROUNDNUTS
115	Guinea-Corn (bearing like Maize)		
116	Gullet		
117	Gun	1566	GUN
118	Hair	1040	HAIR
119	Hat	771	HAT
120	Head	1256	HEAD
121	Heaven (sky)	1565	HEAVEN
122	Heel	980	HEEL
123	Hell	878	HELL
124	Hoe	284	HOE
125	Honey	942	HONEY
126	Horse	615	HORSE
127	Hot	1286	HOT
128	House	1252	HOUSE
129	I bathe (wash myself)	138	BATHE
130	I beg	3534	BEG
131	I break a stick	2558	BREAK (CLEAVE)
132	I breathe	1407	BREATHE
133	I buy	1869	BUY
134	I call a slave		
135	I catch a fish	2638	FISHING
136	I come	1446	COME
137	I cook meat		
138	I cough	879	COUGH
139	I cover a pot		
140	I cut a tree	3151	CUT (WITH AXE)
141	I dance	1879	DANCE
142	I die	1494	DIE
143	Idol	1945	IDOL
144	I do not dance		
145	I do not play		
146	I dream	1920	DREAM (SOMETHING)
147	I drink water		
148	I eat corn		
149	I eat rice		
150	I eat yam		
151	I eat yams		
152	I fall	2894	TUMBLE (FALL DOWN)
153	I flog a child		
154	I give thee	1447	GIVE
155	I go	695	GO
156	I hear	1408	HEAR
157	I kill a fowl		
158	I kneel	66	KNEEL
159	I laugh	1355	LAUGH
160	I lie down	215	LIE DOWN
161	I love thee	923	LOVE
162	Ink	2643	INK
163	Inner Hand	1183	PALM OF HAND
164	I play	1413	PLAY
165	I pray to god (beg god)	24	PRAY
166	I rise	3207	GO UP OR RISE (ONESELF)
167	Iron	621	IRON
168	I run	1519	RUN
169	I see	1409	SEE
170	I sell	1571	SELL
171	I sew	1457	SEW
172	I sew a shirt		
173	I sit down	1649	SIT DOWN
174	I sleep	1585	SLEEP
175	I sneeze	1621	SNEEZE
176	I snore	1983	SNORE
177	I speak	1623	SPEAK
178	I stop	2880	HALT (STOP)
179	I take	1749	TAKE
180	Itch	148	ITCH
181	Ivory		
182	I weep	1839	CRY
183	King	1508	KING
184	Knee	1371	KNEE
185	Knife	1352	KNIFE
186	Kuskus (bearing like Oats)		
187	Leaf	628	LEAF
188	Leaf (grass)	628	LEAF
189	Leg	1297	LEG
190	Leopard	1139	LEOPARD
191	Lion	1386	LION
192	Little, small	1246	SMALL
193	Lizard (the common one)	632	LIZARD
194	Lizard (the common one) (male)	632	LIZARD
195	Maize	506	MAIZE
196	Male Slave		
197	Man	1554	MAN
198	Mare	938	MARE
199	Market	633	MARKET
200	Mat	195	MAT
201	Meat (often Animal)	2096	ANIMAL OR MEAT
202	Medicine	1372	MEDICINE
203	Milk	635	MILK
204	Milk (fresh)		
205	Milk (of cows)		
206	Milk (of women)		
207	Milk (sour)		
208	Monkey	1350	MONKEY
209	Moon	1313	MOON
210	Mosquito	1509	MOSQUITO
211	Mother (My Mother, Thy Mother)	1216	MOTHER
212	Mouth	674	MOUTH
213	my younger son		
214	Nail (of Finger)	1258	FINGERNAIL
215	Nail (of Finger and Toe)	1896	FINGERNAIL OR TOENAIL
216	Navel	1838	NAVEL
217	Neck	1333	NECK
218	Needle	1382	NEEDLE (FOR SEWING)
219	Needle (for ornament)	1382	NEEDLE (FOR SEWING)
220	New	1231	NEW
221	New Moon	3691	NEW MOON
222	New (young)	1207	YOUNG
223	Night	1233	NIGHT
224	Nine	1483	NINE
225	Nineteen	1714	NINETEEN
226	Nose	1221	NOSE
227	Nose-Ring		
228	Old	1229	OLD
229	Old (of men)	565	OLD (OF MAN)
230	Old (of persons)	2112	OLD (AGED)
231	Old (of things)	2113	OLD (USED)
232	Old (persons)	2112	OLD (AGED)
233	One	1493	ONE
234	Onion	2366	ONION
235	Outer Hand, or Hand	1277	HAND
236	Palm-Oil		
237	Palm-tree	1181	PALM TREE
238	Palm-tree (a young one)		
239	Parrot	882	PARROT
240	Pepper	1385	PEPPER
241	Pig	1337	PIG
242	Pigeon	1853	DOVE
243	Pigeon (domestic)		
244	Pigeon (tame)		
245	Pigeon (wild)		
246	Poor	1674	POOR
247	Pot	1462	POT
248	Powder	3368	POWDER
249	Quiver	995	QUIVER
250	Rain	658	RAIN (PRECIPITATION)
251	Rain (water)		
252	Rainy Season	453	RAINY SEASON
253	Ram (Sheep)	1344	RAM
254	Rat	1490	RAT
255	Rib	801	RIB
256	Rice (Cooked)	1191	COOKED RICE
257	Rice (uncooked)	3289	UNCOOKED RICE
258	Rich	712	RICH
259	Root	670	ROOT
260	Root (stump)	241	TREE STUMP
261	Rope	1218	ROPE
262	Sacrifice	1103	SACRIFICE
263	Salt	1274	SALT
264	Sand	671	SAND
265	Scorpion	1538	SCORPION
266	Serpent	730	SNAKE
267	Seven	1704	SEVEN
268	Seventeen	2453	SEVENTEEN
269	Sheep	1331	SHEEP
270	Shirt	1622	SHIRT
271	Shoe	1381	SHOE
272	Shoulder	1482	SHOULDER
273	Sick	1847	SICK
274	silver	759	SILVER
275	Six	1703	SIX
276	Sixteen	2454	SIXTEEN
277	Skin	763	SKIN
278	Small-Pox	1054	SMALLPOX
